#f[Hz]	|G|[dB]	arg(G)[deg]
100.0	-0.000868545537253	-1.14587739537
158.489319246	-0.00218152285733	-1.81600177532
251.188643151	-0.00547869762993	-2.87780466731
398.107170553	-0.0137553098864	-4.55956434304
630.95734448	-0.0345105005759	-7.22066673223
1000.0	-0.0864274756529	-11.421186275
1584.89319246	-0.215484510239	-18.0117239419
2511.88643151	-0.531447511922	-28.2006472472
3981.07170553	-1.27784068287	-43.4157122926
6309.5734448	-2.91080926219	-64.5003551496
10000.0	-6.02059991328	-90.0
15848.9319246	-10.9108092622	-115.49964485
25118.8643151	-17.2778406829	-136.584287707
39810.7170553	-24.5314475119	-151.799352753
63095.734448	-32.2154845102	-161.988276058
100000.0	-40.0864274757	-168.578813725
158489.319246	-48.0345105006	-172.779333268
251188.643151	-56.0137553099	-175.440435657
398107.170553	-64.0054786976	-177.122195333
630957.34448	-72.0021815229	-178.183998225
1000000.0	-80.0008685455	-178.854122605

