#f[Hz]	|G|[dB]	arg(G)[deg]
100.0	-4.39670152769e-08	-0.810311943127
158.489319246	-2.75371592923e-07	-1.28432258829
251.188643151	-1.7323489529e-06	-2.03577164363
398.107170553	-1.0917490319e-05	-3.22750498887
630.95734448	-6.88518919744e-05	-5.11932052944
1000.0	-0.000434326520048	-8.12969561158
1584.89319246	-0.00273948376079	-12.9480283247
2511.88643151	-0.0172555881254	-20.7646100159
3981.07170553	-0.107743086231	-33.7843140832
6309.5734448	-0.63892218875	-55.9989847535
10000.0	-3.01030264448	-90.0
15848.9319246	-8.63892218875	-124.001015246
25118.8643151	-16.1077430862	-146.215685917
39810.7170553	-24.0172555881	-159.235389984
63095.734448	-32.0027394838	-167.051971675
100000.0	-40.0004343265	-171.870304388
158489.319246	-48.0000688519	-174.880679471
251188.643151	-56.0000109175	-176.772495011
398107.170553	-64.0000017323	-177.964228356
630957.34448	-72.0000002754	-178.715677412
1000000.0	-80.000000044	-179.189688057

